      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 23   00:14:47   264      0   00:33:41    62     39
 22   00:08:20   741      0   00:25:01   184      0
 21   00:38:20  1513      0   01:00:45  1918      0
 20   00:25:43   401      0   01:06:21    69     32
 19   00:31:17   633      0   00:53:33   543      0
 18   00:12:26   242      0   00:18:41   209      0
 17   00:12:58   190      0   00:16:12   179      0
 16   00:06:10    72     29   01:22:38  2932      0
 15   00:07:44   239      0   00:13:44   313      0
 14   00:10:17   341      0   00:28:47   573      0
 13   00:06:09   502      0   00:26:17   351      0
 12   00:06:46   271      0   00:16:01   367      0
 11   00:10:44   227      0   00:12:37    65     36
 10   00:06:03   571      0   00:10:10   145      0
  9   00:07:08  1101      0   00:16:15  1524      0
  8   00:04:55   412      0   00:08:15   129      0
  7   00:14:21   486      0   00:19:30   308      0
  6   00:02:20    73     28   00:04:04    66     35
  5   00:04:03   116      0   00:06:48   178      0
  4   00:06:05   454      0   00:14:24   151      0
  3   00:04:42   576      0   00:06:23   257      0
  2   00:05:19   802      0   00:06:55   419      0
  1   00:06:55    24     77   00:08:06   280      0
