      -------Part 1--------   --------Part 2--------
Day       Time  Rank  Score       Time   Rank  Score
 25   00:15:43   522      0   00:15:43    437      0
 24   00:17:17    61     40   00:26:06     92      9
 23   00:50:55  1209      0   00:53:08   1046      0
 22   00:14:44    40     61   01:31:41    232      0
 21   00:07:56   481      0   00:18:22    135      0
 20   00:12:11    46     55   00:16:24     40     61
 19   08:55:50  4405      0   09:05:15   3512      0
 18   00:10:47  1419      0   00:16:52    270      0
 17   00:30:27   214      0   01:15:11    571      0
 16   00:26:11   126      0   02:00:04    499      0
 15   00:33:01  1738      0   00:49:27    745      0
 14   00:12:31   178      0   00:18:54    274      0
 13   00:25:39  1525      0   00:30:51   1235      0
 12   00:11:12   289      0   00:13:45    278      0
 11   00:49:17  4589      0   00:58:06   2498      0
 10   00:11:58  1571      0   12:37:47  36967      0
  9   00:13:52   812      0   00:22:23    619      0
  8   00:14:59  1898      0   00:23:46   1316      0
  7   00:13:45   216      0   00:19:41    318      0
  6   00:03:58  1185      0   00:04:29    844      0
  5   00:08:49   316      0   00:09:53    233      0
  4   00:03:02   348      0   00:04:40    337      0
  3   00:08:13  1902      0   00:15:39   2418      0
  2   00:04:56   355      0   00:06:16     99      2
  1   00:01:46   290      0   00:02:59    333      0
